wavenumbercm-1	lambda_air	lambda_vac	intens	element	ionization_state	source
30690.7934	3257.366748	3258.3061212096263	3.648	Th	I	P
30674.8403	3259.060869	3260.0006722773387	3.056	Th	I	P
30673.1061	3259.245136	3260.1849866127513	2.051	Th	II	P
30640.9238	3262.668454	3263.6091735589252	3.056	Th	II	P
30636.0945	3263.182781	3264.123630379845	2.751	Th	I	P
30627.2832	3264.121613	3265.062700696874	2.074	Th	II	P
30600.277	3267.002454	3267.944273837783	2.508	Th	II	P
30577.1843	3269.469866	3270.4123119668675	2.107	Th	II	P
30571.298	3270.099402	3271.042008095306	2.339	Th	I	P
30557.7805	3271.546009	3272.488981979565	2.099	Th	I	P
30553.2905	3272.0268	3272.969895010163	3.655	Th	I	P
30541.2468	3273.317142	3274.2605648961257	2.023	Ar	II	W
30531.1099	3274.403982	3275.3476806947	1.919	Th	II	P
30524.9237	3275.067597	3276.01146469041	2.744	Th	II	P
30519.5585	3275.643359	3276.587372651541	1.873	Ar	II	W
30469.2802	3281.048784	3281.994170640106	2.751	Th	I	P
30463.2253	3281.70095	3282.646502962377	2.693	Ar	II	W
30451.3612	3282.979571	3283.9254489549717	2.403	Th	II	P
30427.8644	3285.514818	3286.461339692312	2.571	Th	I	P
30417.9761	3286.582912	3287.5297051732514	2.662	Th	II	P
30406.8152	3287.789301	3288.736401436741	3.121	Th	II	P
30403.3848	3288.160274	3289.1074680605957	2.333	Th	II	P
30380.8473	3290.59962	3291.5474348867156	2.529	Th	III	P
30370.3277	3291.739449	3292.68755305528	3.21	Th	II	P
30359.3895	3292.925471	3293.8738771410403	2.054	Th	I	P
30347.2271	3294.245237	3295.19397836516	2.199	Th	II	P
30318.425	3297.374831	3298.3243687625595	2.235	Th	II	P
30314.2102	3297.833304	3298.782958231252	2.413	Th	II	P
30312.2198	3298.049858	3298.999567164659	3.155	Th	I	P
30255.45	3304.23836	3305.189643518771	4.213	Th	I	P
30245.6993	3305.303626	3306.255180550578	3.154	Th	I	P
